AGENT,ITERATION,NO OF GHOSTS,RESULT,TIME
A3,284,10,FALSE,0.101793051
A3,285,10,FALSE,0.206286907
A3,286,10,FALSE,0.025723219
A3,287,10,TRUE,0.20009613
A3,288,10,TRUE,0.165719748
A3,289,10,TRUE,0.153582096
A3,290,10,FALSE,0.067847013
A3,291,11,TRUE,0.271698713
A3,292,11,TRUE,0.169046164
A3,293,11,TRUE,0.226197958
A3,294,11,TRUE,0.194932222
A3,295,11,FALSE,0.187590122
A3,296,11,TRUE,0.197535992
A3,297,11,FALSE,0.058116198
A3,298,11,TRUE,0.137779951
A3,299,11,TRUE,0.194631338
A3,300,11,FALSE,0.010249138
A3,301,11,FALSE,0.123867989
A3,302,11,TRUE,0.21802187
A3,303,11,FALSE,0.177903891
A3,304,11,TRUE,0.156716108
A3,305,11,TRUE,0.177614212
A3,306,11,FALSE,0.164036274
A3,307,11,TRUE,0.142035246
A3,308,11,FALSE,0.019699097
A3,309,11,TRUE,0.185821056
A3,310,11,TRUE,0.261946201
A3,311,11,FALSE,0.118486643
A3,312,11,FALSE,0.126351833
A3,313,11,FALSE,0.103324175
A3,314,11,TRUE,0.163594961
A3,315,11,TRUE,0.145251989
A3,316,11,TRUE,0.184962034
A3,317,11,TRUE,0.146149874
A3,318,11,TRUE,0.206650734
A3,319,11,TRUE,0.161921024
A3,320,12,TRUE,0.155939817
A3,321,12,TRUE,0.174827099
A3,322,12,FALSE,0.107362032
A3,323,12,TRUE,0.403120041
A3,324,12,TRUE,0.16365099
A3,325,12,FALSE,0.096610069
A3,326,12,TRUE,0.161456823
A3,327,12,FALSE,0.197319031
A3,328,12,TRUE,0.168796778
A3,329,12,FALSE,0.000818729
A3,330,12,FALSE,0.093771935
A3,331,12,TRUE,0.148964167
A3,332,12,TRUE,0.168065786
A3,333,12,FALSE,0.145613909
A3,334,12,FALSE,0.105530977
A3,335,12,TRUE,0.166075945
A3,336,12,FALSE,0.057111025
A3,337,12,TRUE,0.160317898
A3,338,12,FALSE,0.062922955
A3,339,12,TRUE,0.185346127
A3,340,12,TRUE,0.262470961
A3,341,12,TRUE,0.14745307
A3,342,12,FALSE,0.058294058
A3,343,12,TRUE,0.171299219
A3,344,12,FALSE,0.111507177
A3,345,12,FALSE,0.133842945
A3,346,12,FALSE,0.045459032
A3,347,12,TRUE,0.150305033
A3,348,12,TRUE,0.162703276
A3,349,13,FALSE,0.074503899
A3,350,13,FALSE,0.096115828
A3,351,13,FALSE,0.041110039
A3,352,13,TRUE,0.181224823
A3,353,13,FALSE,0.101242065
A3,354,13,FALSE,0.04647994
A3,355,13,FALSE,0.136561871
A3,356,13,FALSE,0.155533075
A3,357,13,FALSE,0.161413908
A3,358,13,FALSE,0.268759966
A3,359,13,FALSE,0.165571928
A3,360,13,FALSE,0.135056973
A3,361,13,TRUE,0.236456156
A3,362,13,FALSE,0.112103939
A3,363,13,FALSE,0.046496868
A3,364,13,FALSE,0.166581869
A3,365,13,TRUE,0.155292988
A3,366,13,FALSE,0.183143139
A3,367,13,TRUE,0.406854153
A3,368,13,FALSE,0.049738169
A3,369,13,TRUE,0.224925041
A3,370,13,TRUE,0.144227028
A3,371,13,FALSE,0.134224892
A3,372,13,TRUE,0.249500275
A3,373,13,FALSE,0.112142086
A3,374,13,TRUE,0.303975821
A3,375,13,TRUE,0.199115038
A3,376,13,TRUE,0.147738218
A3,377,13,TRUE,0.220595121
A3,378,14,TRUE,0.196747065
A3,379,14,TRUE,0.227810144
A3,380,14,TRUE,0.188243151
A3,381,14,FALSE,0.136101961
A3,382,14,FALSE,0.136693001
A3,383,14,FALSE,0.232476234
A3,384,14,TRUE,0.299311876
A3,385,14,FALSE,0.252674103
A3,386,14,FALSE,0.007821083
A3,387,14,TRUE,0.161634207
A3,388,14,FALSE,0.066020966
A3,389,14,TRUE,0.216928005
A3,390,14,TRUE,0.145904779
A3,391,14,FALSE,0.116405964
A3,392,14,TRUE,0.179120064
A3,393,14,TRUE,0.194668055
A3,394,14,TRUE,0.186997175
A3,395,14,FALSE,0.011358976
A3,396,14,FALSE,0.143582821
A3,397,14,TRUE,0.177006721
A3,398,14,FALSE,0.019185305
A3,399,14,FALSE,0.149590015
A3,400,14,FALSE,0.08320713
A3,401,14,TRUE,0.200156927
A3,402,14,FALSE,0.13883996
A3,403,14,FALSE,0.075135231
A3,404,14,FALSE,0.178997993
A3,405,14,FALSE,0.072337866
A3,406,14,TRUE,0.183258057
A3,407,15,TRUE,0.359924078
A3,408,15,FALSE,0.166042805
A3,409,15,FALSE,0.062141895
A3,410,15,TRUE,0.179399252
A3,411,15,FALSE,0.125300884
A3,412,15,FALSE,0.121485949
A3,413,15,TRUE,0.168295145
A3,414,15,TRUE,0.162787199
A3,415,15,TRUE,0.143877983
A3,416,15,FALSE,0.114430904
A3,417,15,FALSE,0.161257029
A3,418,15,TRUE,0.161254883
A3,419,15,FALSE,0.170507193
A3,420,15,FALSE,0.050911903
A3,421,15,FALSE,0.127684116
A3,422,15,FALSE,0.101289034
A3,423,15,TRUE,0.197254896
A3,424,15,FALSE,0.405474901
A3,425,15,FALSE,0.132673025
A3,426,15,FALSE,0.008269787
A3,427,15,TRUE,0.161927938
A3,428,15,FALSE,0.128850937
A3,429,15,FALSE,0.113828897
A3,430,15,FALSE,0.097556114
A3,431,15,FALSE,0.372868061
A3,432,15,TRUE,0.158993959
A3,433,15,FALSE,0.046425819
A3,434,15,FALSE,0.095474958
A3,435,15,FALSE,0.002829075
A3,436,16,FALSE,0.252877951
A3,437,16,TRUE,0.177072048
A3,438,16,FALSE,0.092771053
A3,439,16,FALSE,0.028181076
A3,440,16,FALSE,0.094970226
A3,441,16,FALSE,0.03928709
A3,442,16,FALSE,0.007581234
A3,443,16,TRUE,0.200577021
A3,444,16,FALSE,0.030100107
A3,445,16,TRUE,0.188691854
A3,446,16,FALSE,0.219403982
A3,447,16,FALSE,0.005872965
A3,448,16,FALSE,0.04984498
A3,449,16,FALSE,0.161180973
A3,450,16,FALSE,0.036473989
A3,451,16,TRUE,0.15162015
A3,452,16,FALSE,0.010075808
A3,453,16,TRUE,0.242096901
A3,454,16,FALSE,0.155339003
A3,455,16,FALSE,0.109601974
A3,456,16,TRUE,0.158012152
A3,457,16,FALSE,0.299431086
A3,458,16,FALSE,0.215033054
A3,459,16,TRUE,0.163799047
A3,460,16,FALSE,0.074596882
A3,461,16,TRUE,0.160052299
A3,462,16,FALSE,0.127024889
A3,463,16,FALSE,0.117291927
A3,464,16,FALSE,0.140641689
A3,465,17,TRUE,0.204587936
A3,466,17,TRUE,0.302722931
A3,467,17,FALSE,0.115337849
A3,468,17,TRUE,0.180438042
A3,469,17,TRUE,0.205690861
A3,470,17,FALSE,0.22056818
A3,471,17,FALSE,0.21566391
A3,472,17,FALSE,0.086410046
A3,473,17,TRUE,0.317413807
A3,474,17,FALSE,0.017512083
A3,475,17,FALSE,0.077070951
A3,476,17,FALSE,0.070662975
A3,477,17,FALSE,0.081645012
A3,478,17,FALSE,0.012791157
A3,479,17,FALSE,0.059564829
A3,480,17,FALSE,0.286834717
A3,481,17,FALSE,0.196125746
A3,482,17,FALSE,0.042994976
A3,483,17,FALSE,0.103076935
A3,484,17,FALSE,0.025523901
A3,485,17,FALSE,0.060878038
A3,486,17,TRUE,0.177610874
A3,487,17,FALSE,0.092334986
A3,488,17,FALSE,0.181970835
A3,489,17,TRUE,0.243706942
A3,490,17,TRUE,0.257474184
A3,491,17,TRUE,0.172325134
A3,492,17,FALSE,0.007333994
A3,493,17,FALSE,0.088300705
A3,494,18,TRUE,0.245071888
A3,495,18,TRUE,0.19848609
A3,496,18,FALSE,0.049314022
A3,497,18,TRUE,0.162552834
A3,498,18,TRUE,0.248790026
A3,499,18,FALSE,0.046942949
A3,500,18,FALSE,0.215473175
A3,501,18,FALSE,0.104048014
A3,502,18,TRUE,0.151866913
A3,503,18,FALSE,0.094950199
A3,504,18,TRUE,0.367196798
A3,505,18,TRUE,0.21450901
A3,506,18,TRUE,0.183451891
A3,507,18,TRUE,0.239485264
A3,508,18,TRUE,0.275968075
A3,509,18,FALSE,0.167734861
A3,510,18,FALSE,0.115020037
A3,511,18,TRUE,0.164070129
A3,512,18,TRUE,0.189613104
A3,513,18,TRUE,0.19352603
A3,514,18,TRUE,0.150027037
A3,515,18,FALSE,0.015145779
A3,516,18,FALSE,0.120657206
A3,517,18,FALSE,0.184104204
A3,518,18,FALSE,0.106862783
A3,519,18,FALSE,0.044957876
A3,520,18,TRUE,0.172986984
A3,521,18,TRUE,0.165482998
A3,522,18,TRUE,0.146945
A3,523,19,TRUE,0.253111124
A3,524,19,FALSE,0.142244101
A3,525,19,FALSE,0.058048964
A3,526,19,FALSE,0.105065107
A3,527,19,FALSE,0.152235031
A3,528,19,TRUE,0.202558756
A3,529,19,FALSE,0.027444363
A3,530,19,FALSE,0.163686991
A3,531,19,FALSE,0.054738998
A3,532,19,FALSE,0.114727259
A3,533,19,FALSE,0.169589996
A3,534,19,FALSE,0.120502949
A3,535,19,TRUE,0.242223978
A3,536,19,TRUE,0.198380709
A3,537,19,FALSE,0.127153873
A3,538,19,TRUE,0.284458876
A3,539,19,FALSE,0.019231796
A3,540,19,FALSE,0.059897184
A3,541,19,TRUE,0.173707008
A3,542,19,FALSE,0.006272078
A3,543,19,FALSE,0.028073072
A3,544,19,FALSE,0.147293806
A3,545,19,FALSE,0.02263093
A3,546,19,FALSE,0.129228115
A3,547,19,FALSE,0.004107714
A3,548,19,TRUE,0.200977087
A3,549,19,FALSE,0.017946959
A3,550,19,FALSE,0.0229249
A3,551,19,FALSE,0.195803165
A3,552,20,FALSE,0.164803982
A3,553,20,FALSE,0.007514238
A3,554,20,FALSE,0.161190987
A3,555,20,TRUE,0.188379288
A3,556,20,TRUE,0.152205944
A3,557,20,FALSE,0.173027992
A3,558,20,TRUE,0.166358709
A3,559,20,TRUE,0.209937334
A3,560,20,TRUE,0.21056819
A3,561,20,TRUE,0.201634169
A3,562,20,FALSE,0.078244209
A3,563,20,FALSE,0.029406071
A3,564,20,FALSE,0.140557051
A3,565,20,FALSE,0.03965497
A3,566,20,FALSE,0.004496813
A3,567,20,FALSE,0.067746162
A3,568,20,FALSE,0.225970745
A3,569,20,FALSE,0.004790068
A3,570,20,TRUE,0.212350845
A3,571,20,TRUE,0.246062994
A3,572,20,FALSE,0.192367077
A3,573,20,FALSE,0.080230236
A3,574,20,TRUE,0.256471872
A3,575,20,FALSE,0.094320059
A3,576,20,TRUE,0.278113127
A3,577,20,FALSE,0.242964029
A3,578,20,FALSE,0.055758953
A3,579,20,FALSE,0.127081871
A3,580,20,TRUE,0.197375059
A3,581,21,TRUE,0.213542938
A3,582,21,FALSE,0.123823881
A3,583,21,FALSE,0.242860079
A3,584,21,FALSE,0.053532124
A3,585,21,FALSE,0.134333849
A3,586,21,FALSE,0.222525835
